Fish Name, Thai Fish Name, Scientific Name, Order Name, General Description, Physical Description, habitat, Avg Length, Avg Age, Avg DepthLevel, Avg Weight
Clark's anemonefish, ปลาการ์ตูนคล้าร์ก, Amphiprion clarkii, Perciformes, "A widely distributed, symbiotic anemonefish found in tropical Indian and Western Pacific reefs. Noted for vivid black, white, and yellow stripes, it lives among sea anemones and exhibits color variation by location, sex, and host. Grows up to 15 cm.", "Stocky, oval to rounded body; laterally compressed; vivid black, white, and yellow stripes; two vertical white bands (behind eye, above anus); orange-yellow ventral side; black dorsal; white caudal peduncle; forked caudal fin; snout orange or pinkish; dorsal and caudal fins orange-yellow; color varies by sex, age, and host anemone.", "Sheltered reefs and shallow lagoons in tropical Indian Ocean and Western Pacific; lives in symbiosis with all ten host sea anemone species; most widely distributed anemonefish.", 12 cm, 8 years, 8 m, 0.2 kg
Tomato clownfish, ปลาการ์ตูนมะเขือเทศ, Amphiprion frenatus, Perciformes, "A bright orange-red anemonefish native to Western Pacific reefs from Japan to Indonesia. Noted for its single white head bar outlined in black, it forms symbiotic relationships with anemones. Females are darker; males are smaller and red. Grows up to 14 cm.", "Oval, laterally compressed body; bright orange-red overall; single white vertical head bar outlined in black; females darker with blackish sides; males smaller and red; juveniles darker red with two or three white bars; 9–10 dorsal spines, 2 anal spines, 16–18 dorsal soft rays, 13–15 anal soft rays.", "Sheltered reefs and lagoons in Western Pacific (Japan, South China Sea, Malaysia, Indonesia); associated mainly with bubble-tip anemone (Entacmaea quadricolor), sometimes sebae anemone (Heteractis crispa). Territorial and aggressive when mature.", 12 cm, 7 years, 8 m, 0.2 kg
Ocellaris clownfish, ปลาการ์ตูนส้ม, Amphiprion ocellaris, Perciformes, "A small, stocky anemonefish found in Eastern Indian and Western Pacific reefs. Noted for its orange to black coloration and three white bands, it forms symbiotic relationships with sea anemones. Grows up to 11 cm; popular in aquariums and research.", "Oval, laterally compressed body; orange to reddish-brown or black; three vertical white bands outlined in black (behind eye, mid-body, caudal peduncle); fins outlined in black; taller dorsal fin (11 spines); females larger than males; up to 11 cm long.", "Outer reef slopes and sheltered lagoons in Eastern Indian Ocean and Western Pacific (Northern Australia, Southeast Asia, Japan); lives in symbiosis with Heteractis magnifica, Stichodactyla gigantea, and Stichodactyla mertensii; found to 15 m depth.", 9 cm, 6 years, 8 m, 0.1 kg
Pink skunk clownfish, ปลาการ์ตูนชมพู, Amphiprion perideraion, Perciformes, "A small, pink to peach anemonefish with a white dorsal stripe and head bar. Found in Indo-Pacific reefs, it forms symbiotic relationships with several host anemones. Sequential hermaphrodite, primarily feeds on algae, and exhibits strict size-based dominance hierarchy.", "Oval, laterally compressed body; pink to peach coloration; white stripe along dorsal ridge; single white head bar behind eye; up to 10 cm; no color variation by sex or location.", "Reef lagoons and outer reef slopes in Indo-Pacific (Northern Australia, Malay Archipelago, Melanesia, Ryukyu Islands, Sumatra); depths 3–65 m; often shares host anemones with other species.", 10 cm, 6 years, 20 m, 0.1 kg
Green humphead parrotfish, ปลากะพงหัวโหนกเขียว, Bolbometopon muricatum, Perciformes, "The largest parrotfish, reaching 1.5 m and 75 kg, with a bulbous forehead and exposed teeth plates. Found in Indian and Pacific reefs, it feeds on algae and live coral, contributing to reef bioerosion. Gregarious, slow-growing, and threatened by overfishing.", "Large, robust body; vertical head profile; bulbous forehead; exposed teeth plates; scales cover body except leading edge of head; color shifts from gray with white spots to dark green; up to 1.5 m; no sex-based color change.", "Clear outer lagoons, seaward reefs, and branching coral habitats in Indian and Pacific Oceans (Red Sea to Samoa, Yaeyama Islands to Great Barrier Reef); juveniles in lagoons and seagrass beds; adults to 30 m depth.", 150 cm, 40 years, 30 m, 75 kg
Yellowback fusilier, ปลาหางเหลืองหลังเหลือง, Caesio xanthonota, Perciformes, "A small to medium-sized, spindle-shaped fusilier with a bright yellow back and tail, greyish blue sides, and white belly. Found in Indo-Pacific lagoons and reefs, it forms schools and feeds on zooplankton. Diurnal, planktivorous, grows up to 40 cm.", "Fusiform body; small, terminal, protrusible mouth; bright yellow zone from forehead to tail including dorsal and caudal fins; greyish blue sides; white belly; deeply forked caudal fin; dorsal fin with 10 spines, 14–15 soft rays; up to 40 cm.", "Mid-water in deep lagoons and near external reefs in tropical Indo-Pacific (African coast to Indonesia); found from surface to 50 m depth; forms schools with other caesionids.", 40 cm, 8 years, 30 m, 0.5 kg
Yellowspotted trevally, ปลาหางเหลืองจุดทอง, Carangoides fulvoguttatus, Perciformes, "A large, predatory jack with golden spots above the midline, growing up to 1.2 m and 18 kg. Found in Indo-Pacific rocky and coral reefs, it feeds on fish, crustaceans, and cephalopods. Highly valued as a sportfish; forms spawning aggregations.", "Elongated, subcylindrical body; steep dorsal profile; mouth beneath eye; silver with golden spots above lateral line; dorsal and anal fins dusky yellow; pectoral and caudal fins olive-yellow; up to 1.2 m; juveniles more ovate, adults more elongated.", "Inshore lagoons, rocky and coral reefs, seagrass beds, and deep sand banks in tropical/subtropical Indo-Pacific (South Africa to Japan, Australia, Palau, Tonga); found to 100 m depth; intolerant of low salinity.", 120 cm, 15 years, 50 m, 18 kg
Giant trevally, ปลาอินทรีย์ยักษ์, Caranx ignobilis, Perciformes, "The largest Caranx species, reaching up to 170 cm and 80 kg. An apex predator found in Indo-Pacific reefs, lagoons, estuaries, and offshore atolls. Hunts fish, crustaceans, and cephalopods; known for powerful predation and gamefish status. Populations declining in some regions.", "Ovate, moderately compressed body; steep head profile; strong tail scutes; silvery-grey, males may be jet-black; fins light grey to black, sometimes yellowish; forked caudal fin; falcate pectoral fins; up to 170 cm; sexual dimorphism in color above 50 cm.", "Coral and rocky reefs, lagoons, estuaries, embayments, tidal flats, offshore atolls in tropical/subtropical Indo-Pacific (South Africa to Hawaii, Japan, Australia); juveniles in rivers and lakes; adults to depths >80 m.", 120 cm, 24 years, 50 m, 80 kg
Bluefin trevally, ปลาอินทรีย์ครีบน้ำเงิน, Caranx melampygus, Perciformes, "A large, predatory jack with electric blue fins and blue-black spots, found in tropical Indo-Pacific reefs, lagoons, and offshore atolls. Hunts fish, cephalopods, and crustaceans; juveniles prefer shallower waters. Popular gamefish, but may cause ciguatera poisoning.", "Oblong, compressed body; pointed snout; silvery-brassy upper body fading to white underside; electric blue dorsal, anal, and caudal fins; white pelvic and yellowish pectoral fins; blue-black spots on upper flanks; forked caudal fin; up to 117 cm.", "Bays, lagoons, coral and rocky reefs, sand flats, seagrass meadows, estuaries, and offshore atolls in tropical/subtropical Indo-Pacific (East Africa to Central America, Japan, Australia, Hawaii); juveniles inshore, adults deeper to 183 m.", 80 cm, 15 years, 50 m, 20 kg
Bigeye trevally, ปลาอินทรีย์ตาโต, Caranx sexfasciatus, Perciformes, "A large, schooling jack found in tropical Indo-Pacific reefs, bays, and offshore islands. Noted for its nocturnal feeding, dark second dorsal fin with white tip, and small opercular spot. Hunts fish, crustaceans, and cephalopods; juveniles inshore, adults deeper.", "Compressed, oblong body; slightly pointed snout; silvery blue above, white below; juveniles with 5–6 dark vertical bars; adults lose bars, show silvery olive to blue-green; dark second dorsal fin with white tip; small dark opercular spot; forked caudal fin; up to 120 cm.", "Coral and rocky reefs, bays, lagoons, estuaries, sandy flats, offshore islands, and seamounts in tropical/subtropical Indo-Pacific (South Africa to California, Ecuador, Japan, Australia, Hawaii); juveniles inshore, adults to 100 m depth.", 70 cm, 12 years, 50 m, 8 kg
Argus grouper, ปลาเก๋าจุดฟ้า, Cephalopholis argus, Perciformes, "A medium-sized, territorial grouper found in Indo-Pacific coral reefs. Noted for its dark brown body covered in hundreds of iridescent blue spots, it reaches up to 60 cm. Males defend harems; invasive in Hawaii; popular gamefish and aquarium resident.", "Dark brown body with numerous small, dark-edged iridescent blue spots; larger individuals may show 4–6 pale vertical bars on the back half; robust, oval body; large mouth; rounded fins; up to 60 cm long.", "Coral reefs, rocky areas, and lagoons in tropical Indo-Pacific (Red Sea, East Africa, Japan, Australia, Hawaii); prefers coral heads and crevices; invasive in Hawaii; found at depths of 2–40 m.", 40 cm, 15 years, 20 m, 2 kg
Coral hind, ปลาเก๋าปะการัง, Cephalopholis miniata, Perciformes, "A vibrant, predatory grouper found in Indo-Pacific coral reefs, noted for its orange-red body covered in bright blue spots. Reaches up to 50 cm; forms harems, ambushes small fish and crustaceans. Popular in fisheries and aquariums; protogynous hermaphrodite.", "Orange-red to reddish brown body with many small bright blue spots on head, body, and fins; rounded, robust body; flat to slightly convex head profile; juveniles orange to yellow with fewer blue spots; up to 50 cm long.", "Clear coastal and offshore coral reefs, caves, and ledges in Indo-Pacific (Red Sea, East Africa, Japan, Australia, Indian Ocean islands, west-central Pacific); prefers exposed areas; found at depths of 2–150 m.", 35 cm, 12 years, 30 m, 1.5 kg
Eastern triangle butterflyfish, ปลาผีเสื้อสามเหลี่ยมตะวันออก, Chaetodon baronessa, Perciformes, "A small, territorial butterflyfish found in Indo-West Pacific coral reefs, recognized by alternating cream and grey chevron bars and three dark head stripes. Feeds exclusively on Acropora coral polyps, usually seen in pairs. Not threatened.", "Laterally compressed, high-backed body; alternating cream and grey-brown chevron bars; three dark head bars including one through the eye; maximum length 16 cm.", "Seaward and lagoon coral reefs from Indonesia to Fiji, Tonga, southern Japan, New Caledonia, and Australia; prefers areas with abundant Acropora corals.", 16 cm, 8 years, 25 m, 0.1 kg
Redtail butterflyfish, ปลาผีเสื้อหางแดง, Chaetodon collare, Perciformes, "A striking butterflyfish found in Indo-West Pacific reefs, recognized by its brown-black body, white streaks on the head, and bright red tail base. Feeds mainly on coral polyps, usually seen in pairs or small groups. Not threatened.", "Laterally compressed, oval body; brown to black with lighter spotted scales; prominent vertical white streak behind eyes, dark stripe over eyes, smaller white stripe in front; bright red tail base, black band, diffuse white tip; up to 18 cm.", "Coral reefs from Persian Gulf and Maldives to Japan, Philippines, and Indonesia; prefers depths of 3–15 m, often near branching corals.", 18 cm, 10 years, 15 m, 0.2 kg
Indian vagabond butterflyfish, ปลาผีเสื้ออินเดีย, Chaetodon decussatus, Perciformes, "A robust butterflyfish found in Indo-West Pacific reefs, recognized by oblique black lines and yellowish hindparts. Adults are monogamous and territorial, feeding on algae and coral polyps. Juveniles are solitary. Not threatened.", "Laterally compressed, oval body; white with two areas of oblique black lines; yellowish hindpart; black vertical bar through eye; yellow caudal fin; up to 20 cm long.", "Coral reefs, rubble, and rocky areas from Maldives, India, Sri Lanka, Andaman Sea to western Indonesia; found at depths of 2–25 m.", 20 cm, 10 years, 20 m, 0.2 kg
Scrawled butterflyfish, ปลาผีเสื้อลายขีด, Chaetodon meyeri, Perciformes, "A striking butterflyfish found in Indian and Pacific Ocean coral reefs, recognized by curved black bands on a whitish body and yellow-edged black bars through the eye and snout. Feeds exclusively on coral polyps. Not threatened.", "Laterally compressed, oval body; whitish or blue-white with curved to oblique black bands; yellow-edged black bar through eye and snout; up to 20 cm long.", "Coral-rich seaward and lagoon reefs from East Africa to Line Islands, Ryukyu Islands, Great Barrier Reef, Micronesia, Galapagos; depths 2–25 m.", 20 cm, 10 years, 20 m, 0.2 kg
Eightband butterflyfish, กบหลังลายเฉียง, Chaetodon octofasciatus, Perciformes, "A small butterflyfish found in Indo-Pacific coral reefs, feeding exclusively on coral polyps. Noted for its distinctive stripes and preference for sheltered inshore and lagoon reefs. Grows up to 12 cm.", "Laterally compressed, oval body; white with yellowish belly; 7 black vertical stripes on body, 1 on snout; up to 12 cm long.", "Sheltered inshore and lagoon reefs among corals in Indo-Pacific; depth range 3–20 m.", 12 cm, 6 years, 20 m, 0.1 kg
Latticed butterflyfish, ปลาผีเสื้อลายลูกไม้, Chaetodon rafflesii, Perciformes, "The Latticed Butterflyfish is an uncommon Indo-Pacific species found from Sri Lanka to Tuamotu Islands, north to Japan, south to Great Barrier Reef, and Micronesia. It inhabits areas of rich coral growth in lagoons and protected reef flats and seaward reefs from 1–20 m depth. Feeds on sea anemones, polychaetes, and coral polyps. Grows up to 18 cm.", "Yellow body with cross-hatched dark lines on sides; vertical black eyestripe; vertical black line in caudal fin; most common length 15 cm, max 18 cm; belongs to subgenus Rabdophorus.", "Lagoons, protected reef flats, and seaward reefs with rich coral growth in Indo-Pacific; depth range 1–20 m.", 18 cm, 6 years, 20 m, 0.15 kg
Humphead wrasse, ปลานโปเลียน, Cheilinus undulatus, Perciformes, "The humphead wrasse is the largest living member of Labridae, found on coral reefs in the Indo-Pacific. Males reach up to 2 m and 190 kg, females are smaller. Noted for thick lips and a prominent forehead hump. Endangered due to overfishing, habitat loss, and trade. Long-lived, slow-breeding, and protected in several regions.", "Robust body; thick, fleshy lips; prominent forehead hump; color varies: females red-orange above, males green-blue; juveniles cryptic in dense coral or seagrass; adults up to 2 m, 190 kg.", "Steep coral reef slopes, channels, and lagoon reefs in Indo-Pacific; juveniles in dense coral/seagrass, adults in open reef edges; depth 1–100 m.", 200 cm, 50 years, 100 m, 190 kg
Humpback grouper, ปลากะรังหลังค่อม, Cromileptes altivelis, Perciformes, "The humpback grouper (Cromileptes altivelis) is a demersal, solitary, ambush predator found in tropical Indo-West Pacific lagoons and seaward reefs, preferring dead or silty areas. Grows up to 70 cm. Noted for its laterally compressed, high body and elongated snout. Vulnerable due to rarity, overharvesting, and habitat loss; commonly kept in aquaria.", "Laterally compressed, high body; concave profile; elongated snout; adults grey to beige with variable dark blotches and small black spots; juveniles white with round black spots, swim head-down; up to 70 cm long.", "Clear lagoons and seaward reefs in tropical Indo-West Pacific; prefers dead or silty areas; depth range 2–40 m.", 70 cm, 18 years, 40 m, 10 kg
Honeycomb grouper, ปลากะรังลายรังผึ้ง, Epinephelus merra, Perciformes, "The honeycomb grouper is a small, solitary Indo-Pacific grouper found from South Africa to Pitcairn, Japan, and Lord Howe Island. It reaches up to 32 cm, with a stocky, ocher to light brown body covered in brown hexagonal spots forming a network. Protogynous hermaphrodite, feeds on fish, crabs, shrimps, and cephalopods.", "Oval, stocky body; ocher to light brown with small brown hexagons and pale interspaces on irregular darker bands; hexagonal spots on all fins; rounded caudal fin; convex dorsal head profile; globular eyes; lower jaw longer than upper; up to 32 cm.", "Seaward reefs and shallow lagoons in tropical Indo-Pacific; juveniles prefer staghorn coral reefs; depth range 1–50 m.", 32 cm, 10 years, 50 m, 0.6 kg
Epinephelus tukula, ปลากะรังมันฝรั่ง, Epinephelus tukula, Perciformes, "The Potato cod is a large, inquisitive grouper native to Indo-Pacific reefs, including Australia and Southeast Asia. It reaches up to 2.6 m and 110 kg, is patchily distributed, and is considered harmless but may show rare aggression. Listed as Least Concern by IUCN.", "Robust, elongated body with irregular dark blotches on pale skin; large mouth; rounded fins; can grow up to 260 cm and 110 kg.", "Reefs across Indo-Pacific from Red Sea to Australia; prefers unfished or protected reef areas; depth 5–150 m.", 260 cm, 40 years, 80 m, 110 kg
Forcipiger flavissimus, ปลาผีเสื้อปากยาวสีเหลือง, Forcipiger flavissimus, Perciformes, "The yellow longnose butterflyfish is a small, territorial reef fish found across the Indo-Pacific and eastern Pacific. It forms monogamous pairs, defends coral patches, and uses acoustic signals for communication. Grows up to 22 cm; popular in aquariums.", "Bright yellow body, long narrow snout, black face with white spot near mouth; compressed oval shape; dorsal and anal fins elongated; up to 22 cm.", "Coral reefs in tropical Indo-Pacific and eastern Pacific (Africa to Hawaii, Red Sea, Baja California, Galapagos); found at depths of 2–40 m.", 22 cm, 7 years, 20 m, 0.1 kg
Dogtooth tuna, ปลาทูน่าหมาฟัน,Gymnosarda unicolor,Perciformes,"Large predatory tuna in Indo-Pacific reefs; apex predator with aggressive behavior; prized game fish; Least Concern.","Streamlined body, blue-green back, silver sides, white belly, two white-tipped dorsal fins; commonly 40–120 cm, max 250 cm.","Tropical Indo-Pacific reefs; juveniles in shallow areas, adults near drop-offs and seamounts; depth varies widely.", 80 cm, 15 years, 100 m, 40 kg
Ceckerboard wrhasse, ปลาเพรียงลายหมากรุก,Halichoeres hortulanus,Perciformes,"A small wrasse with variable coloration through life stages; protogynous hermaphrodite; Least Concern.","Juveniles are silvery with black-red blotches and eye stripe; adults have a checkerboard scale pattern with pink lines and yellow dorsal spots; up to 27 cm.","Clear lagoons and seaward reefs, Indo-Pacific (Red Sea to French Polynesia); depth 1–30 m.", 20 cm, 7 years, 15 m, 0.2 kg
Pennant coralfish, ปลาธงหางยาว,Hiniochus acuminatus,Perciformes,"A schooling butterflyfish widespread in the Indo‑Pacific; feeds on zooplankton and occasionally acts as cleaner fish; Least Concern.","Compressed body with extended dorsal filament; white background with two black diagonal bands, yellow fins; max 25 cm, common 15 cm.","Outer reef slopes and channels across the Indo‑Pacific; depth range 2–178 m.", 15 cm, 6 years, 40 m, 0.1 kg
Schooling bannerfish, ปลาธงหมู่,Hiniochus diphreutes,Perciformes,"A schooling butterflyfish widespread in the Indo‑Pacific; feeds on zooplankton and sometimes acts as cleaner fish; Least Concern.","Compressed body with extended dorsal filament; white background with two black diagonal bands, yellow fins; max 21 cm.","Outer reef slopes and channels, Indo‑Pacific; depth range 5–210 m (commonly 5–30 m).", 18 cm, 6 years, 25 m, 0.1 kg
Bigeye snapper, ปลากะพงตาโต,Lutjanus lutjanus,Perciformes,"A reef-associated snapper of the Indo-West Pacific; valued in commercial fisheries; Least Concern.","Silver body with yellow stripe; fusiform shape; max 35 cm.","Offshore coral reefs and inshore waters; depth range 0–96 m.", 25 cm, 11 years, 40 m, 0.3 kg
Humpnose unicornfish, ปลาแฮมป์โนสยูนิคอร์นฟิช,Naso tonganus,Perciformes,"A reef-associated unicornfish across the Indo‑Pacific; feeds on algae and zooplankton; minor commercial importance.","Fusiform, compressed body up to 60 cm; bulbous hump on snout; 5 dorsal spines, 27–30 soft rays.","Coral reefs, lagoons, estuaries; depth range 2–40 m (commonly 3–20 m).", 45 cm, 20 years, 25 m, 1.2 kg
Red fire goby, ปลาสีไฟ,Nemateleotris magnifica,Perciformes,"A reef-associated dartfish of the Indian and Pacific Oceans; monogamous and commonly kept in aquaria; Least Concern.","Bright yellow head fading to white body and red-orange tail; long dorsal fin; reaches 9 cm.","Coral reefs across Indo-Pacific; depth 6–70 m (usually 6–28 m); hovers above substrate.", 7 cm, 4 years, 20 m, 0.01 kg
Palette surgeonfish, ปลาหมอทะเล,Paracanthurus hepatus,Perciformes,"A vibrant blue surgeonfish with a yellow tail and black palette pattern, found throughout Indo-Pacific coral reefs. Popular in aquariums, it helps maintain coral health by grazing on algae. Grows up to 30 cm; Least Concern.","Royal blue body, yellow tail, black palette design, flat circular shape, pointed snout, small scales; up to 30 cm, ~600 g.","Coral reefs in Indo-Pacific: Philippines, Indonesia, Japan, Australia, New Caledonia, Samoa, East Africa, Sri Lanka; depth range 2–40 m.", 25 cm, 8 years, 25 m, 0.6 kg
Black-sided hawkfish, ปลากะรังเหยี่ยว,Paracirrhites forsteri,Perciformes,"A colorful hawkfish found in Indo-Pacific reefs, often perching on corals and rocks. It has a white body with black sides and red or yellow markings. Grows up to 22 cm and is popular in aquariums and minor fisheries.","White body, black sides, red/yellow markings, robust head, thick lips, perches on corals; up to 22 cm.","Coral and rocky reefs in Indo-Pacific; perches on corals and rocks; depth range 1–40 m.", 18 cm, 7 years, 35 m, 0.1 kg
Teira batfish, ปลาค้างคาวเทอิรา,Platax teira,Perciformes,"A round-bodied batfish of the Indo‑West Pacific, sometimes schooling and entering the aquarium trade; Least Concern.","Circular to triangular compressed body with dark blotches beneath pectoral and above anal fin; changes colour; max length 65–70 cm.","Juveniles among debris, mangroves, inner reefs; adults on reefs and offshore up to depth of 70 m; schools under Sargassum or shipwrecks.", 60 cm, 10 years, 70 m, 4.5 kg
Indian Ocean oriental sweetlips, ปลาหมากขุนทอง,Plectorhinchus vittatus,Perciformes,"A striking grunt species found in the Indian Ocean and western Pacific. Adults display bold black stripes and yellow fins, while juveniles are mostly black. Inhabits coral and rocky reefs at depths of 2–25 m.","Juveniles are black-striped; adults have black dots on yellow tail. Can reach up to 72 cm in length.","Coral and rock reefs in Indian Ocean and western Pacific; depth range 2–25 m.", 72 cm, 10 years, 25 m, 3.5 kg
Blue ring angelfish, ปลาหงส์วงแหวน,Pomacanthus annularis,Perciformes,"A large, striking angelfish found in Indo-West Pacific reefs; undergoes dramatic color changes from juvenile to adult; Least Concern.","Deeply compressed body, small mouth; adults dark orange to brown/violet with blue ring near head and blue semicircular marks; juveniles dark blue with turquoise and white vertical stripes; up to 45 cm, usually 30 cm.","Coastal rocky coral reefs, caves, wrecks; Indo-West Pacific from East Africa to southern Japan, Indonesia, New Guinea, New Caledonia; depth range 3–30 m.", 30 cm, 15 years, 30 m, 1.5 kg
Emperor angelfish, ปลาหงส์จักรพรรดิ,Pomacanthus imperator,Perciformes,"A striking reef-associated angelfish native to Indo-Pacific oceans; popular among divers and aquarists; Least Concern.","Compressed body with blue/yellow horizontal stripes and dark mask; commonly 30–40 cm, max 40 cm.","Coral reefs and lagoons; depth range 1–100 m (commonly 3–60 m).", 35 cm, 16 years, 100 m, 1.4 kg
Blueface angelfish, ปลาหงส์หน้ากากเหลือง,Pomacanthus xanthometopon,Perciformes,"A reef-associated angelfish with striking blue-and-yellow face, common across Indo-Pacific lagoons and outer reef slopes; Least Concern.","Compressed body up to 38 cm; blue body with yellow edges forming reticulated pattern; juveniles with vertical bands; large yellow fins edged with blue.","Coral-rich lagoons and outer reef slopes across Indo-Pacific; depth range 5–30 m.", 28 cm, 13 years, 30 m, 9 kg
Royal angelfish, ปลาหงส์หลวง,Pygoplites diacanthus,Perciformes,"A reef-associated angelfish widely distributed in the Indo-Pacific; often paired, feeds on sponges and tunicates; seldom survives in aquaria.","Compressed, colorful body with alternating blue-white and orange stripes; max length 25 cm.","Coral-rich lagoons and seaward reefs across Indo-Pacific; depth range 0–110 m, commonly 3–60 m.", 20 cm, 15 years, 110 m, 1 kg
Streaked spinefoot, ปลาสไปน์ฟุตลายขีด,Siganus javus,Perciformes,"A shallow-water herbivorous rabbitfish widespread in the Indo‑Pacific; venomous spines; forms small schools.","Laterally compressed body 25–55 cm (common ~30 cm); bronze-grey with white spots and wavy stripes; venomous dorsal, anal, and pelvic spines.","Coastal reefs, rocky shores, brackish lagoons and seagrass beds; depths 2–20 m.", 30 cm, 3 years, 20 m, 0.48 kg
Great barracuda, ปลาบาราคูด้าตัวใหญ่,Sphyraena barracuda,Perciformes,"A top predator ray-finned fish found in tropical and subtropical oceans; solitary to schooling behavior; occasionally dangerous to swimmers.","Elongated body, powerful underbite jaw with fanglike teeth; commonly 60–100 cm and 2.5–9 kg, max up to 200 cm and 50 kg; forked tail, two dorsal fins.","Open seas, coral reefs, mangroves, and seagrasses worldwide in tropical/subtropical waters; depths from surface to 110 m, average daytime ~4 m.", 80 cm, 14 years, 110 m, 38 kg
Yellowtail barracuda, ปลาบาราคูด้าหางเหลือง,Sphyraena flavicauda,Perciformes,"A smaller Indo‑West Pacific barracuda, Lessepsian migrant in the Mediterranean; nocturnal hunter schooling by day.","Elongated body with two separated dorsal fins; yellow‑edged caudal fin; grey dorsally, white underside; common length 40 cm, max 60 cm.","Reef lagoons and slopes across Indo‑West Pacific and Mediterranean; depth range 2–25 m.", 40 cm, 6 years, 25 m, 23 kg
Pickhandle barracuda, ปลาบาราคูด้าลายขีด,Sphyraena jello,Perciformes,"A schooling predatory fish in Indo-Pacific reefs, named for pickaxe-handle like bars; spawns in Persian Gulf in Oct–Nov.","Slender body with ~20 wavy/oblique bars; underbite jaw; common length ~120 cm, max 150 cm.","Reef-associated, estuaries, bays, lagoons; Indo-West Pacific from Red Sea to Vanuatu and Tonga.", 120 cm, 11 years, 200 m, 11.5 kg
Blackfin barracuda, ปลาบาราคูด้าครีบดำ,Sphyraena qenie,Perciformes,"A large predatory fish found across the Indo-Pacific region; known for forming large schools near coral reefs.","Slender body with distinctive chevron markings; reaches up to 140 cm; black-tipped fins.","Coral reefs from the Red Sea and East Africa to French Polynesia; depth range 0–100 m.", 140 cm, 5 years, 100 m, 7.14 kg
Moorish idol, ปลามัวริชไอดอล,Zanclus cornutus,Perciformes,"The only extant member of the family Zanclidae, widely distributed across tropical Indo-Pacific reefs; known for its striking appearance and difficulty adapting to captivity.","Disk-like body with black, white, and yellow bands; long tubular snout with bristle-like teeth; sickle-shaped dorsal fin extension; maximum length 23 cm.","Tropical to subtropical reefs and lagoons; depths from 1 to 182 meters; found from East Africa, Indian Ocean, Pacific Islands to Hawaii and southern Japan.", 20 cm, 4 years, 15 m, 0.2 kg
Little dragonfish, ปลามังกรจิ๋ว,Eurypegasus draconis,Gasterosteiformes,"A small, exotic-looking marine fish in the family Pegasidae, known for shedding its skin in one piece and being used in traditional medicine.","Reaches up to 10 cm; body morphology characteristic of Pegasidae; small size and unusual form.","Tropical Indo-Pacific waters, including the Red Sea; depths 3–90 m.", 10 cm, 2 years, 20 m, 0.02 kg
Indian mackerel, ปลาแมคเคอเรลอินเดีย,Rastrelliger kanagurta,Scombriformes,"A widely distributed coastal pelagic fish in the Indian and western Pacific Oceans; a key species in South and Southeast Asian diets.","Moderately deep body, head longer than body depth; thin dark (golden in fresh) bands on upper body; black spot near pectoral fin; yellowish fins with black-tipped dorsals; max length 35 cm, commonly 25 cm.","Shallow warm waters of Indian and West Pacific Oceans, from East Africa and Red Sea to Indonesia, China, Ryukyu Islands, Australia, and Samoa; depth range 20–90 m.", 25 cm, 3 years, 35 m, 0.25 kg
Trumpetfish, ปลาแตรทะเล,Aulostomus maculatus,Syngnathiformes,"Trumpetfish are long-bodied ambush predators found throughout the tropical western Atlantic. They often swim vertically to blend in with corals and associate with herbivorous fish for cover while hunting.","Slender, tubular body up to 100 cm, with small jaws at the end of a long snout; barbel on chin; variable color (brown, yellow, green, blue-gray); dorsal and anal fins set far back; capable of color change for camouflage.","Tropical western Atlantic Ocean from Florida to Brazil; depth range 2–25 m.", 60 cm, 6 years, 12 m, 0.5 kg
Ornate ghost pipefish, ปลาหลอกชนิดอร่าม, Solenostomus paradoxus, Syngnathiformes, "A camouflaged reef-associated fish found across the Indo-Pacific; females carry eggs in pelvic fin pouch. Least Concern.", "Armored, slender body up to 12 cm; tubular snout, elliptic shape; highly color-variable; females ~13 cm, males ~37% smaller.", "Reef edges, seagrass beds and gorgonians from Red Sea to Tonga; depth range 3–35 m (occasionally to 50 m).", 12 cm, 1.5 years, 15 m, 0.015 kg
