Fish Name,Thai Fish Name,Scientific Name,Order Name,General Description,Physical Description,habitat,Avg Length,Avg Age,Avg DepthLevel,Avg Weight
Clown triggerfish,ปลาวัวมงกุฎ,Balistoides conspicillum,Tetraodontiformes,"A striking, solitary triggerfish with bold black and white spots and yellow markings. Found on clear external reef slopes in the Indo-Pacific, it is territorial and aggressive. Feeds on benthic invertebrates; popular but demanding in aquariums. Grows up to 50 cm.","body_shape: laterally compressed; primary_colors: dark brown to black on the upper body; secondary_colors: white on the lower body; markings: large irregular white spots covering the entire lower half of the body, a broad yellow to orange reticulated network pattern around the mouth and snout, a white band bordering the base of the caudal fin; dorsal_fin: small first dorsal spine, second dorsal fin yellowish with dark base; caudal_fin: rounded, pale yellowish-white with a dark submarginal band; unique_features: bold orange-yellow lips surrounding the mouth forming a distinct ring, large white circular blotches on the ventral surface, and a yellow reticulated mask-like pattern on the face","External reef slopes with clear water in tropical/subtropical Indian and western Pacific Oceans; adults to 75 m, juveniles below 20 m near caves/overhangs.",40 cm,10 years,30 m,1.2 kg
Titan triggerfish,ปลาวัวไททัน,Balistoides viridescens,Tetraodontiformes,"The largest triggerfish in the Indo-Pacific, titan triggerfish is solitary, diurnal, and highly territorial, especially during nesting. It feeds on sea urchins, molluscs, crustaceans, and coral, often stirring up sand and rocks. Can be aggressive toward intruders; grows up to 75 cm.","body_shape: laterally compressed, deep and oval; primary_colors: olive to yellowish-brown overall with dark-edged scales; secondary_colors: pale yellowish on lower belly and around the mouth; markings: each scale dark-edged creating a fine cross-hatched net-like pattern over the body, a darker patch above the upper lip extending toward the eye, and a pale band bordering the lower jaw; dorsal_fin: first dorsal with three stout spines, the first large and lockable, second dorsal fin long and low with yellowish membrane and darker margin; caudal_fin: truncate to slightly lunate, yellowish-brown with darker margins, lacking long filamentous lobe extensions; unique_features: strong protruding teeth at the mouth, a groove running from the corner of the mouth toward the eye, and a pale band bordering the lower jaw contrasting with the darker face","Lagoons and coral reefs throughout Indo-Pacific (except Hawaii), to depths of 50 m; nests in flat sandy areas, highly territorial during breeding.",60 cm,15 years,25 m,4 kg
Spot-fin porcupinefish,ปลาปักเป้าหนามทุเรียนครีบจุด,Diodon hystrix,Tetraodontiformes,"A solitary, nocturnal porcupinefish found in tropical and subtropical seas worldwide. Inflates and raises spines for defense, with tetrodotoxin in organs. Shelters in reefs and caves by day, feeds on sea urchins, gastropods, and crustaceans. Grows up to 91 cm.","body_shape: elongate and oblong with a broad, rounded head tapering toward the tail; primary_colors: tan to yellowish-brown dorsally, creamy white ventrally; secondary_colors: pale yellow on the sides; markings: numerous small dark brown to black spots scattered over the head, body, and fins, with a few larger dark blotches on the upper sides above the pectoral fin; dorsal_fin: small, rounded, set far back near the tail, tan with dark spots; caudal_fin: rounded, tan to yellowish with dark spotting; unique_features: long sharp erectile spines covering the head and body (absent on caudal peduncle), large rounded eyes, fused beak-like dental plates, and the ability to inflate the body into a spiny sphere","Tropical/subtropical oceans globally, including Mediterranean; juveniles pelagic to 20 cm, adults in lagoons, coral/rocky reefs, 1EE50 m depth, sheltering under ledges/caves.",40 cm,12 years,20 m,2.5 kg
Redtoothed triggerfish,ปลาวัวดำ,Odonus niger,Tetraodontiformes,"A dark blue, highly maneuverable triggerfish found in tropical Indo-Pacific reefs and open waters. Noted for its red teeth, lyre-shaped caudal fin, and unique swimming style. Often seen in groups near the surface, feeding on plankton and sponges. Grows up to 50 cm.","body_shape: laterally compressed, oval/elongate; primary_colors: dark blue-green to bluish-purple covering the body; secondary_colors: yellowish band across the upper head/cheek behind the mouth, lighter blue-green tones on the head; markings: thin bright blue lines along the bases and margins of the dorsal and anal fins, subtle pale lines on the face; dorsal_fin: two dorsal fins, first short with stout spines, second long and soft-rayed with bright blue margin; caudal_fin: lunate (crescent-shaped) with elongated, filamentous upper and lower lobe tips in adults, margins often reddish to dark with blue edging; unique_features: distinctive red to orange-red teeth visible when the mouth is open, yellow cheek band, and bright blue margins on the soft dorsal and anal fins contrasting with the dark body","Open waters and current-swept seaward reefs in tropical Indo-Pacific, 0EE35 m depth; often seen circling in groups near the surface.",30 cm,8 years,20 m,0.9 kg
Yellow boxfish,ปลาปักเป้ากล่องเหลืองลายจุดดำ,Ostracion cubicus,Tetraodontiformes,"A solitary, box-shaped reef fish found in Indo-Pacific and Atlantic oceans. Juveniles are bright yellow with black spots, fading with age. Feeds on algae, sponges, crustaceans, and mollusks. Releases toxic proteins when stressed; warning coloration deters predators. Grows up to 45 cm.","body_shape: cube-like, rigid boxy carapace (boxfish form); primary_colors: bright yellow overall; secondary_colors: pale yellow to whitish on ventral surface; markings: small round black spots scattered across the body and carapace; dorsal_fin: small, rounded, yellowish; caudal_fin: rounded to slightly fan-shaped, yellowish; unique_features: rigid bony box-like carapace giving a cube-shaped outline, small protruding mouth, eyes set high on the squared head","Coral and rocky reefs in Pacific, Indian, and SE Atlantic oceans; solitary, found at depths of 1EE40 m.",25 cm,10 years,15 m,0.6 kg
White-spotted boxfish,ปลากล่องลายจุดขาว,Ostracion meleagris,Tetraodontiformes,A box-shaped reef fish found in Indo-Pacific reefs at depths of 1EE30 m. Males are black with white spots and blue sides with yellow bands; females and juveniles are dark brown to black with white spots. Grows up to 25 cm; feeds on benthic invertebrates.,"body_shape: rigid box-like, roughly cuboid/trigonal in cross-section; primary_colors: dark brown to black (females/juveniles) or yellow sides with bluish back (males); secondary_colors: bluish to purplish dorsal surface in males, pale belly; markings: numerous white spots over a dark body in females/juveniles, and white spots on the back with dark-ringed spots on yellow sides in males; dorsal_fin: small, rounded, set far back near the tail; caudal_fin: rounded to truncate, plain to lightly spotted; unique_features: rigid carapace of fused hexagonal bony scutes encasing the body, small terminal mouth on a blunt rounded snout, eyes set high on the head, fleshy fins protruding through openings in the bony shell","Coral and rocky reefs in Indian and Pacific Oceans, 1EE30 m depth.",18 cm,8 years,15 m,0.4 kg
Yellowmargin triggerfish,ปลาสินสมุทรขอบเหลือง,Pseudobalistes flavimarginatus,Tetraodontiformes,"A large, solitary triggerfish found in Indo-Pacific reefs from the Red Sea to Samoa. Noted for its yellow-edged fins and robust body, it is oviparous and aggressively guards nests. Grows up to 60 cm; may cause ciguatera poisoning if consumed.","body_shape: laterally compressed; primary_colors: dark olive-brown to blackish overall body; secondary_colors: pale yellowish-white to cream on the lower face and chin region; markings: small pale blue or whitish spots and short dashes scattered across the body surface, pale blue lines radiating from around the eye across the cheek; dorsal_fin: second dorsal fin low and elongated running along the posterior body, dark in color with a distinct bright yellow margin along the outer edge; caudal_fin: rounded to slightly truncate, dark brownish-black with a prominent bright yellow outer margin bordering the entire fin edge; unique_features: bright yellow margin bordering both the caudal fin and second dorsal fin, pale blue line markings on the cheek radiating from the eye, whitish chin contrasting sharply with the dark body, and a large depressible first dorsal spine typical of triggerfishes","Coral reefs, lagoons, and coastal waters in Indo-Pacific (Red Sea, South Africa, Japan, Indonesia, Philippines, Samoa); found at depths of 2EE50 m.",50 cm,12 years,25 m,2.5 kg
Blue triggerfish,ปลาสินสมุทรน้ำเงิน,Pseudobalistes fuscus,Tetraodontiformes,"A large, aggressive triggerfish found in Indo-Pacific reefs from the Red Sea to New Caledonia. Noted for its blue and yellow coloration and biting behavior, it feeds on shellfish and crustaceans. Grows up to 55 cm; divers avoid due to territorial nature.","body_shape: laterally compressed; primary_colors: pale blue-gray to grayish blue overall; secondary_colors: yellowish to pale yellow on the lower face and chin area; markings: faint curved lines or groove-like markings on the cheek region, subtle reticulated or wavy lines may appear on the body flanks; dorsal_fin: two dorsal fins, first with a stout locking spine, second dorsal fin elongated with pale bluish coloration matching the body; caudal_fin: lunate to forked with elongated lobes in adults, pale bluish gray with darker trailing edges; unique_features: prominent locking first dorsal spine, distinctive groove running from eye toward mouth, small terminal mouth with visible white teeth, rough rhomboid body outline typical of triggerfishes","Reef-associated, coastal waters, shallow lagoons, and seaward reefs in Indo-Pacific (Red Sea, South Africa, Society Islands, Japan, Australia, New Caledonia); found at depths of 30EE50 m.",45 cm,10 years,40 m,2.2 kg
Halfmoon triggerfish,ปลาสินสมุทรครึ่งพระจันทร์,Sufflamen chrysopterum,Tetraodontiformes,"A solitary triggerfish found in tropical Indo-West Pacific reefs and lagoons. Noted for its halfmoon-shaped caudal fin and vibrant colors, it feeds on small invertebrates like crustaceans and worms. Grows up to 25 cm; often seen near coral.","body_shape: laterally compressed, deep and oval; primary_colors: dark brown to olive-brown body, often lighter brown anteriorly; secondary_colors: pale bluish to whitish band running from below the eye toward the pectoral fin base; markings: a curved pale (whitish to bluish) bar across the cheek/throat region, sometimes a darker rear body grading toward the tail; dorsal_fin: two dorsal fins, the first with a stout erectile locking spine, second dorsal long-based and brownish; caudal_fin: rounded to slightly emarginate with a distinctive pale crescent (half-moon) margin and dark trailing edge; unique_features: white to bluish half-moon-shaped pale band along the rear margin of the tail is the key diagnostic marker, plus the pale curved cheek bar","Seaward reefs and shallow lagoons in tropical Indo-West Pacific; solitary, found near coral at depths of 2EE30 m.",20 cm,8 years,15 m,0.5 kg
Zebra turkeyfish,ปลาสิงโตลายม้าลาย,Dendrochirus zebra,Scorpaeniformes,"A striking, bottom-dwelling lionfish found in Indo-West Pacific reefs and lagoons. Noted for its orange, white, and black stripes and large fan-like pectoral fins, it has 13 venomous dorsal spines. Grows up to 24 cm; feeds on small crustaceans.","body_shape: laterally compressed; primary_colors: reddish-brown to cream white; secondary_colors: pale white to cream on belly; markings: alternating dark reddish-brown and white vertical bars running along the entire length of the body from head to tail base; dorsal_fin: tall with numerous long, elongated individual spines that are banded with alternating dark and light rings, fan-like in arrangement; caudal_fin: rounded, with alternating dark and light horizontal banding across the fin membrane; unique_features: extremely elongated feathery pectoral fins that spread wide on both sides of the body, each spine individually distinct and banded, prominent banded supraorbital tentacles above each eye, vertical bars extend through the head and across the eye","Coral, pebble, and rock bottoms on reef flats, outer reefs, lagoons, and caves in Indo-West Pacific (Red Sea, Indonesia, Australia); found at depths of 1EE80 m.",20 cm,8 years,40 m,0.4 kg
Clearfin lionfish,ปลาสิงโตครีบใส,Pterois radiata,Scorpaeniformes,"A nocturnal, carnivorous lionfish found in rocky reefs of the western Indo-Pacific. Noted for its clear, unbanded fins and two white stripes on the caudal peduncle, it has 12EE13 venomous dorsal spines. Grows up to 24 cm; feeds on crabs and shrimps.","body_shape: laterally compressed; primary_colors: white to pale cream with reddish-brown to dark brown; secondary_colors: pale white on ventral surface with translucent fin membranes; markings: alternating reddish-brown and white vertical bars running along the entire body from head to caudal peduncle, with small dark spots scattered on the head and cheeks; dorsal_fin: tall and elongated with numerous long separated spines, fin membranes nearly transparent or clear with faint spotting, spines banded in alternating light and dark; caudal_fin: rounded, nearly transparent to pale with faint rows of small dark spots arranged in horizontal bands; unique_features: pectoral fins extremely broad and fan-like with clear to translucent membranes lacking bold banding compared to related species, long tentacles above each eye, highly visible alternating body bars, and notably clear fin membranes which distinguish it from similar lionfish species","Rocky reefs, caves, and crevices in western Indo-Pacific (South Africa, Red Sea, Indonesia, Society Islands, Ryukyu Islands, Australia, New Caledonia); found at depths of 1EE25 m.",20 cm,8 years,15 m,0.4 kg
Red lionfish,ปลาสิงโตแดง,Pterois volitans,Scorpaeniformes,"A large, venomous lionfish native to Indo-Pacific reefs, now invasive in the Atlantic and Caribbean. Noted for its red and white stripes and long, fan-like spines, it is a voracious nocturnal predator. Grows up to 47 cm; lives about 10 years.","body_shape: laterally compressed; primary_colors: reddish-brown to maroon; secondary_colors: white and cream; markings: alternating reddish-brown and white vertical bars running across the entire body from behind the head to the base of the tail, with additional fine white lines interspersed; dorsal_fin: tall and fan-like with 13 long, separated, venomous spines each draped with banded reddish-brown and white striped membranous tissue; caudal_fin: rounded, with reddish-brown and white spots or fine banding across the fin membrane; unique_features: large fan-like pectoral fins with elongated banded rays spreading outward from the body, numerous fleshy tentacle-like appendages above the eyes and below the mouth, and a distinctive white-spotted reddish-brown banded pattern across all fins giving a dramatic feathered appearance","Coral reefs, rocky areas, lagoons in Indo-Pacific (native) and Atlantic/Caribbean (invasive); found at depths of 1EE50 m.",35 cm,10 years,25 m,0.8 kg
False stonefish,ปลาหินเทียม,Scorpaenopsis diabolus,Scorpaeniformes,"A venomous, bottom-dwelling scorpionfish found in tropical Indian and Pacific Oceans. Expertly camouflaged among rocks and coral, it ambushes prey and flashes its pectoral fins as a warning. Exhibits biofluorescence; can reach 30 cm.","body_shape: dorsoventrally flattened; primary_colors: mottled brown, grey, and reddish-brown across the entire body; secondary_colors: pale cream to whitish on the underside; markings: irregular dark brown and pale blotches covering the entire head, body, and fins creating a cryptic camouflage pattern; dorsal_fin: tall spiny dorsal fin with multiple stout venomous spines, mottled brown and grey matching body coloration; caudal_fin: rounded, mottled brown with faint irregular banding; unique_features: large warty bumpy skin texture with numerous fleshy skin flaps and protuberances across the head and body, extremely large upward-facing mouth with a strongly concave head profile, eyes positioned high on the head and slightly protruding","Seabed among rubble, seaweed-covered rocks, or coralline algae on reef flats, lagoons, and seaward reefs; Indian and Pacific Oceans from Africa and Red Sea to Japan, Hawaii, Australia, and New Caledonia; depths to 70 m.",25 cm,10 years,35 m,0.7 kg
Tassled scorpionfish,ปลาหินหนามพู่,Scorpaenopsis oxycephala,Scorpaeniformes,"A venomous, carnivorous scorpionfish found in Indian and Pacific Oceans. Noted for its tassels below the jaw and variable coloration, it is well-camouflaged among reefs. Adults reach up to 36 cm; painful if stepped on due to venomous spines.","body_shape: robust and stocky, slightly compressed with a large head; primary_colors: mottled reddish-brown, tan, and pale cream; secondary_colors: pinkish-white on ventral surface with patches of orange-brown; markings: irregular blotches and mottled patterning across entire body and head providing camouflage, dark saddle-like blotches along the dorsal surface; dorsal_fin: tall and spiny with numerous filamentous skin flaps along the rays, mottled brown and reddish with faint banding; caudal_fin: rounded, mottled reddish-brown with faint darker banding or blotching; unique_features: highly elaborate fleshy tassels and skin flaps covering the head, cheeks, and body including above the eyes and along the jaw, extremely ornate camouflaged head profile with numerous dermal appendages, large upturned mouth, and deeply ridged warty skin texture throughout",Reef slopes and coral areas in Indian and Pacific Oceans; found at depths of 1EE35 m; often in shallow waters where swimmers may encounter them.,30 cm,10 years,20 m,0.8 kg
Powderblue surgeonfish,ปลาหมอทะเลฟ้าผง,Acanthurus leucosternon,Perciformes,"A vibrant, oval-shaped surgeonfish found in tropical Indian Ocean reefs. Noted for its powder blue sides, yellow dorsal fin, and black head, it is herbivorous and territorial. Grows up to 23 cm; prized in aquariums for its striking coloration.","body_shape: laterally compressed; primary_colors: pale powder blue covering the main body; secondary_colors: white on the belly; markings: dark brownish-black mask covering the face and head from snout through the eye region, dark brownish-black extending across the pectoral fin area and chest forming a broad dark patch; dorsal_fin: elongated, runs along most of the body length, bright yellow with a white or pale edge; caudal_fin: lunate or crescent-shaped, white to pale with dark upper and lower tips or lobes; unique_features: bright yellow dorsal fin contrasting sharply with the blue body, dark facial mask, white or pale crescent-shaped tail, and a pale white caudal peduncle area with the characteristic surgeonfish scalpel spine visible at the base of the tail","Shallow, clear coastal waters and flat top reefs in tropical Indian Ocean; prefers areas along seaward slopes; always associated with coral reefs.",20 cm,8 years,10 m,0.3 kg
Clark's anemonefish,ปลาการ์ตูนคล้าร์ก,Amphiprion clarkii,Perciformes,"A widely distributed, symbiotic anemonefish found in tropical Indian and Western Pacific reefs. Noted for vivid black, white, and yellow stripes, it lives among sea anemones and exhibits color variation by location, sex, and host. Grows up to 15 cm.","body_shape: laterally compressed; primary_colors: dark brown to black overall body; secondary_colors: orange to yellow on the snout, fins, and ventral regions, with white bars; markings: three white vertical bars, one behind the eye on the head, one across the mid-body, and one at the base of the caudal peduncle; dorsal_fin: divided into spiny and soft portions, dark with white bar continuous from the body; caudal_fin: rounded to slightly emarginate, yellow to whitish; unique_features: three bright white vertical bars, often with a white-edged tail, variable dark body coloration",Sheltered reefs and shallow lagoons in tropical Indian Ocean and Western Pacific; lives in symbiosis with all ten host sea anemone species; most widely distributed anemonefish.,12 cm,8 years,8 m,0.2 kg
Tomato clownfish,ปลาการ์ตูนมะเขือเทศ,Amphiprion frenatus,Perciformes,"A bright orange-red anemonefish native to Western Pacific reefs from Japan to Indonesia. Noted for its single white head bar outlined in black, it forms symbiotic relationships with anemones. Females are darker; males are smaller and red. Grows up to 14 cm.","body_shape: laterally compressed, oval; primary_colors: bright orange-red to tomato red on head, anterior body and fins; secondary_colors: dusky black to dark patch developing on the sides/flanks, especially in larger females; markings: single white vertical bar just behind the eye/head region; dorsal_fin: continuous, rounded profile, orange-red; caudal_fin: rounded, orange-red to reddish; unique_features: only a single white head bar (no additional body bars), distinguishing it from multi-barred clownfish species","Sheltered reefs and lagoons in Western Pacific (Japan, South China Sea, Malaysia, Indonesia); associated mainly with bubble-tip anemone (Entacmaea quadricolor), sometimes sebae anemone (Heteractis crispa). Territorial and aggressive when mature.",12 cm,7 years,8 m,0.2 kg
Ocellaris clownfish,ปลาการ์ตูนส้ม,Amphiprion ocellaris,Perciformes,"A small, stocky anemonefish found in Eastern Indian and Western Pacific reefs. Noted for its orange to black coloration and three white bands, it forms symbiotic relationships with sea anemones. Grows up to 11 cm; popular in aquariums and research.","body_shape: laterally compressed; primary_colors: bright orange; secondary_colors: white; markings: three vertical white bars edged with thin black borders, one bar crossing the head just behind the eye, one bar crossing the middle of the body, one bar crossing the base of the caudal peduncle; dorsal_fin: divided into two sections with spiny and soft-rayed portions, orange with white base coloration and black edging along the margins; caudal_fin: rounded, orange with a white base and thin black border along the edges; unique_features: distinct black outline bordering all three white bars and tracing the fin margins throughout the body, creating a bold tricolor pattern of orange, white, and black","Outer reef slopes and sheltered lagoons in Eastern Indian Ocean and Western Pacific (Northern Australia, Southeast Asia, Japan); lives in symbiosis with Heteractis magnifica, Stichodactyla gigantea, and Stichodactyla mertensii; found to 15 m depth.",9 cm,6 years,8 m,0.1 kg
Pink skunk clownfish,ปลาการ์ตูนชมพู,Amphiprion perideraion,Perciformes,"A small, pink to peach anemonefish with a white dorsal stripe and head bar. Found in Indo-Pacific reefs, it forms symbiotic relationships with several host anemones. Sequential hermaphrodite, primarily feeds on algae, and exhibits strict size-based dominance hierarchy.","body_shape: laterally compressed; primary_colors: pale pinkish-orange to light salmon pink overall; secondary_colors: white on the dorsal stripe and single head bar; markings: a single narrow white stripe running along the top of the head just behind the snout continuing along the dorsal midline of the body toward the tail, and one narrow vertical white bar crossing the head just behind the eyes; dorsal_fin: moderately tall with a notched profile, pale pinkish-orange matching the body with no bold contrasting colors; caudal_fin: rounded to slightly truncate, pale pinkish-orange or whitish, no distinct color banding; unique_features: absence of a white stripe on the body sides distinguishes it from similar clownfish species, the single white dorsal stripe running along the top of the body from head to tail is the primary diagnostic marker, and the single white head bar positioned just behind the eyes","Reef lagoons and outer reef slopes in Indo-Pacific (Northern Australia, Malay Archipelago, Melanesia, Ryukyu Islands, Sumatra); depths 3EE65 m; often shares host anemones with other species.",10 cm,6 years,20 m,0.1 kg
Green humphead parrotfish,ปลากะพงหัวโหนกเขียว,Bolbometopon muricatum,Perciformes,"The largest parrotfish, reaching 1.5 m and 75 kg, with a bulbous forehead and exposed teeth plates. Found in Indian and Pacific reefs, it feeds on algae and live coral, contributing to reef bioerosion. Gregarious, slow-growing, and threatened by overfishing.","body_shape: deep-bodied, robust and somewhat fusiform with a steep blunt forehead; primary_colors: dull blue-green to grey-green overall body; secondary_colors: pinkish to salmon tones on the forehead/face; markings: faint darker scale edging giving a subtle reticulated look on the flanks, often a pinkish patch on the bulbous forehead; dorsal_fin: long continuous low dorsal fin running along the back, blue-green matching the body; caudal_fin: truncate to slightly rounded (double-emarginate), blue-green; unique_features: prominent bulbous green forehead hump above the eyes, fused beak-like parrot teeth at the mouth, very large heavy body identifying it as the largest parrotfish species","Clear outer lagoons, seaward reefs, and branching coral habitats in Indian and Pacific Oceans (Red Sea to Samoa, Yaeyama Islands to Great Barrier Reef); juveniles in lagoons and seagrass beds; adults to 30 m depth.",150 cm,40 years,30 m,75 kg
Yellowback fusilier,ปลาหางเหลืองหลังเหลือง,Caesio xanthonota,Perciformes,"A small to medium-sized, spindle-shaped fusilier with a bright yellow back and tail, greyish blue sides, and white belly. Found in Indo-Pacific lagoons and reefs, it forms schools and feeds on zooplankton. Diurnal, planktivorous, grows up to 40 cm.","body_shape: fusiform, elongate and streamlined; primary_colors: bright yellow along the entire dorsal surface from head to tail, pale blue to whitish on the lower flanks and belly; secondary_colors: silvery white on the ventral surface; markings: a broad vivid yellow stripe running along the entire dorsal region from the snout to the base of the caudal fin, sharply contrasting with the pale blue or white lower body; dorsal_fin: single, long-based and low, yellowish matching the dorsal stripe; caudal_fin: deeply forked, yellow with darker tips on both lobes; unique_features: the sharply defined yellow dorsal band covering roughly the upper third of the body contrasting abruptly with the pale bluish-white lower body, creating a two-toned appearance that is the primary diagnostic marker",Mid-water in deep lagoons and near external reefs in tropical Indo-Pacific (African coast to Indonesia); found from surface to 50 m depth; forms schools with other caesionids.,40 cm,8 years,30 m,0.5 kg
Yellowspotted trevally,ปลาหางเหลืองจุดทอง,Carangoides fulvoguttatus,Perciformes,"A large, predatory jack with golden spots above the midline, growing up to 1.2 m and 18 kg. Found in Indo-Pacific rocky and coral reefs, it feeds on fish, crustaceans, and cephalopods. Highly valued as a sportfish; forms spawning aggregations.","body_shape: laterally compressed; primary_colors: silvery blue-green on the dorsal surface, bright silver on the flanks and belly; secondary_colors: golden-yellow highlights on the flanks; markings: numerous small bright yellow spots scattered across the upper flanks and dorsal surface; dorsal_fin: two dorsal fins, the second being tall and sickle-shaped with dusky coloration; caudal_fin: deeply forked, dusky to yellowish with darker tips; unique_features: densely scattered yellow spots across the body above the lateral line, strongly forked tail with elongated lobes, and a silvery overall sheen with golden-yellow tones along the midline","Inshore lagoons, rocky and coral reefs, seagrass beds, and deep sand banks in tropical/subtropical Indo-Pacific (South Africa to Japan, Australia, Palau, Tonga); found to 100 m depth; intolerant of low salinity.",120 cm,15 years,50 m,18 kg
Giant trevally,ปลาอินทรีย์ยักษ์,Caranx ignobilis,Perciformes,"The largest Caranx species, reaching up to 170 cm and 80 kg. An apex predator found in Indo-Pacific reefs, lagoons, estuaries, and offshore atolls. Hunts fish, crustaceans, and cephalopods; known for powerful predation and gamefish status. Populations declining in some regions.","body_shape: laterally compressed; primary_colors: silvery grey to dark charcoal grey on the dorsal and lateral surfaces; secondary_colors: silvery white to pale silver on the ventral surface; markings: small dark spot near the upper margin of the operculum gill cover, faint dusky speckling scattered across the upper flanks in some individuals; dorsal_fin: two distinct dorsal fins, the second dorsal fin tall and sickle shaped with a dark grey to blackish coloration and elongated anterior lobes; caudal_fin: deeply forked, dark grey to dusky coloration with pale to whitish lower lobe margin; unique_features: strongly elevated steep forehead profile giving a blunt convex snout, prominent dark black scutes along the lateral line on the caudal peduncle region, sickle shaped pectoral fins that are long and pale to translucent white","Coral and rocky reefs, lagoons, estuaries, embayments, tidal flats, offshore atolls in tropical/subtropical Indo-Pacific (South Africa to Hawaii, Japan, Australia); juveniles in rivers and lakes; adults to depths >80 m.",120 cm,24 years,50 m,80 kg
Bluefin trevally,ปลาอินทรีย์ครีบน้ำเงิน,Caranx melampygus,Perciformes,"A large, predatory jack with electric blue fins and blue-black spots, found in tropical Indo-Pacific reefs, lagoons, and offshore atolls. Hunts fish, cephalopods, and crustaceans; juveniles prefer shallower waters. Popular gamefish, but may cause ciguatera poisoning.","body_shape: laterally compressed; primary_colors: silvery blue-green to greenish gold on the upper body and flanks; secondary_colors: silvery white to pale yellow on the belly; markings: numerous small vivid blue spots scattered across the upper flanks and body, faint dusky spot at the upper edge of the gill cover; dorsal_fin: two dorsal fins, second dorsal fin elevated anteriorly with bright blue coloration along the rays; caudal_fin: deeply forked, vivid bright blue to blue-black coloration throughout both lobes; unique_features: intensely blue forked caudal fin clearly distinguishing it from similar trevally species, scattered iridescent blue spots across the upper flanks, and a faint opercular spot at the upper margin of the gill cover","Bays, lagoons, coral and rocky reefs, sand flats, seagrass meadows, estuaries, and offshore atolls in tropical/subtropical Indo-Pacific (East Africa to Central America, Japan, Australia, Hawaii); juveniles inshore, adults deeper to 183 m.",80 cm,15 years,50 m,20 kg
Bigeye trevally,ปลาอินทรีย์ตาโต,Caranx sexfasciatus,Perciformes,"A large, schooling jack found in tropical Indo-Pacific reefs, bays, and offshore islands. Noted for its nocturnal feeding, dark second dorsal fin with white tip, and small opercular spot. Hunts fish, crustaceans, and cephalopods; juveniles inshore, adults deeper.","body_shape: laterally compressed; primary_colors: silvery blue-green on the dorsal surface, silver on the flanks; secondary_colors: pale silver-white on the belly; markings: faint dusky spot on the upper edge of the gill cover; dorsal_fin: two distinct dorsal fins, first dorsal fin short and triangular with dusky to dark coloration, second dorsal fin elongated with a dusky to yellowish tinge; caudal_fin: deeply forked, dusky yellow to pale yellow with darker margins on the lobes; unique_features: notably large eyes proportional to head size, prominent curved lateral line with a straight posterior section bearing enlarged scutes, small dusky spot at the upper margin of the operculum","Coral and rocky reefs, bays, lagoons, estuaries, sandy flats, offshore islands, and seamounts in tropical/subtropical Indo-Pacific (South Africa to California, Ecuador, Japan, Australia, Hawaii); juveniles inshore, adults to 100 m depth.",70 cm,12 years,50 m,8 kg
Argus grouper,ปลาเก๋าจุดฟ้า,Cephalopholis argus,Perciformes,"A medium-sized, territorial grouper found in Indo-Pacific coral reefs. Noted for its dark brown body covered in hundreds of iridescent blue spots, it reaches up to 60 cm. Males defend harems; invasive in Hawaii; popular gamefish and aquarium resident.","body_shape: fusiform, robust; primary_colors: dark brown to blackish base coloration over head, body and fins; secondary_colors: pale grayish bars on the posterior body and faint broad pale vertical bands along the sides; markings: numerous small bright blue spots, each often dark-edged, densely covering the entire head, body and fins; dorsal_fin: continuous with shallow notch between spiny and soft portions, covered with small blue spots, spiny portion moderately tall; caudal_fin: rounded, peppered with small blue spots and typically with a pale rear margin; unique_features: dense blue ocellated spotting giving an argus/peacock-eye appearance, frequent pale vertical bars on rear half of body, no distinct black saddle marks","Coral reefs, rocky areas, and lagoons in tropical Indo-Pacific (Red Sea, East Africa, Japan, Australia, Hawaii); prefers coral heads and crevices; invasive in Hawaii; found at depths of 2EE40 m.",40 cm,15 years,20 m,2 kg
Coral hind,ปลาเก๋าปะการัง,Cephalopholis miniata,Perciformes,"A vibrant, predatory grouper found in Indo-Pacific coral reefs, noted for its orange-red body covered in bright blue spots. Reaches up to 50 cm; forms harems, ambushes small fish and crustaceans. Popular in fisheries and aquariums; protogynous hermaphrodite.","body_shape: laterally compressed; primary_colors: bright red to orange-red covering the entire body and head; secondary_colors: pale whitish to light blue on the edges of fins; markings: numerous small round bright blue to white spots densely covering the entire body, head, and fins uniformly; dorsal_fin: continuous, moderately elevated with spiny and soft ray sections, red-orange base covered with blue-white spots matching body pattern; caudal_fin: rounded, red-orange with blue-white spots and pale to whitish posterior margin; unique_features: dense covering of vivid blue-ringed white spots across entire body including head and all fins, with a distinctly rounded caudal fin and pale fin margins contrasting against the deep red-orange ground color","Clear coastal and offshore coral reefs, caves, and ledges in Indo-Pacific (Red Sea, East Africa, Japan, Australia, Indian Ocean islands, west-central Pacific); prefers exposed areas; found at depths of 2EE150 m.",35 cm,12 years,30 m,1.5 kg
